"t / s","CH1 / V","CH2 / V"
0,0,0.197893
6.66667e-08,0.040404,0.189972
1.33333e-07,0,0.189972
2e-07,0,0.189972
2.66667e-07,0,0.189972
3.33333e-07,0,0.189972
4e-07,0,0.189972
4.66667e-07,0.040404,0.189972
5.33333e-07,0,0.189972
6e-07,0,0.189972
6.66667e-07,0,0.189972
7.33333e-07,0.040404,0.189972
8e-07,0.040404,0.189972
8.66667e-07,0,0.189972
9.33333e-07,0,0.197893
1e-06,0,0.189972
1.06667e-06,0.040404,0.189972
1.13333e-06,0,0.189972
1.2e-06,0,0.189972
1.26667e-06,0,0.189972
1.33333e-06,0.040404,0.189972
1.4e-06,0,0.189972
1.46667e-06,0.040404,0.189972
1.53333e-06,0,0.189972
1.6e-06,0,0.189972
1.66667e-06,0.040404,0.189972
1.73333e-06,0,0.189972
1.8e-06,0,0.189972
1.86667e-06,0.040404,0.189972
1.93333e-06,0,0.189972
2e-06,0,0.189972
2.06667e-06,0.040404,0.189972
2.13333e-06,0,0.189972
2.2e-06,0,0.189972
2.26667e-06,0,0.189972
2.33333e-06,0,0.189972
2.4e-06,0,0.189972
2.46667e-06,0,0.189972
2.53333e-06,0,0.189972
2.6e-06,0,0.189972
2.66667e-06,0,0.189972
2.73333e-06,0,0.189972
2.8e-06,0.040404,0.189972
2.86667e-06,0,0.189972
2.93333e-06,0.040404,0.189972
3e-06,0,0.189972
3.06667e-06,0,0.189972
3.13333e-06,0.040404,0.189972
3.2e-06,0,0.189972
3.26667e-06,0,0.189972
3.33333e-06,0.040404,0.189972
3.4e-06,0,0.189972
3.46667e-06,0,0.189972
3.53333e-06,0,0.189972
3.6e-06,0,0.189972
3.66667e-06,0,0.189972
3.73333e-06,0,0.189972
3.8e-06,0,0.189972
3.86667e-06,0,0.189972
3.93333e-06,0,0.189972
4e-06,0,0.189972
4.06667e-06,0,0.189972
4.13333e-06,0,0.189972
4.2e-06,0,0.189972
4.26667e-06,0,0.189972
4.33333e-06,0,0.189972
4.4e-06,0,0.189972
4.46667e-06,0,0.189972
4.53333e-06,0.040404,0.189972
4.6e-06,2.9899,0.189972
4.66667e-06,3.43434,0.189972
4.73333e-06,3.43434,0.189972
4.8e-06,3.47475,0.197893
4.86667e-06,3.43434,0.197893
4.93333e-06,3.43434,0.197893
5e-06,3.43434,0.205814
5.06667e-06,3.43434,0.205814
5.13333e-06,3.43434,0.205814
5.2e-06,3.47475,0.205814
5.26667e-06,3.43434,0.205814
5.33333e-06,3.43434,0.205814
5.4e-06,3.43434,0.213735
5.46667e-06,3.43434,0.221655
5.53333e-06,0.20202,0.221655
5.6e-06,0,0.221655
5.66667e-06,0,0.213735
5.73333e-06,0,0.213735
5.8e-06,0,0.221655
5.86667e-06,0,0.221655
5.93333e-06,0,0.221655
6e-06,0,0.221655
6.06667e-06,0,0.221655
6.13333e-06,0.040404,0.221655
6.2e-06,0,0.221655
