"t / s","CH1 / V","CH2 / V"
3.78e-05,0.040404,0.864323
3.8e-05,0.040404,0.854222
3.82e-05,0.020202,0.844121
3.84e-05,0.040404,0.844121
3.86e-05,0.040404,0.844121
3.88e-05,0.040404,0.844121
3.9e-05,0.040404,0.83402
3.92e-05,0.040404,0.844121
3.94e-05,0.040404,0.844121
3.96e-05,0.040404,0.83402
3.98e-05,0.040404,0.844121
4e-05,0.020202,0.823919
4.02e-05,0.040404,0.83402
4.04e-05,0.040404,0.844121
4.06e-05,0.020202,0.823919
4.08e-05,3.09091,0.823919
4.1e-05,3.43434,0.844121
4.12e-05,3.45455,0.844121
4.14e-05,3.45455,0.844121
4.16e-05,3.45455,0.844121
4.18e-05,3.43434,0.874424
4.2e-05,3.45455,0.874424
4.22e-05,3.45455,0.884525
4.24e-05,3.45455,0.884525
4.26e-05,3.45455,0.884525
4.28e-05,3.47475,0.904727
4.3e-05,3.45455,0.894626
4.32e-05,3.47475,0.894626
4.34e-05,1.75758,0.904727
4.36e-05,0.020202,0.904727
4.38e-05,0.040404,0.904727
4.4e-05,0.040404,0.904727
4.42e-05,0.040404,0.884525
4.44e-05,0.040404,0.894626
4.46e-05,0.040404,0.884525
4.48e-05,0.040404,0.884525
4.5e-05,0.020202,0.884525
4.52e-05,0.040404,0.884525
4.54e-05,0.040404,0.884525
4.56e-05,0.040404,0.884525
4.58e-05,0.040404,0.884525
4.6e-05,0.040404,0.884525
4.62e-05,0.040404,0.884525
4.64e-05,0.040404,0.884525
4.66e-05,0.040404,0.884525
4.68e-05,0.040404,0.884525
4.7e-05,0.040404,0.874424
4.72e-05,0.020202,0.884525
4.74e-05,0.040404,0.874424
4.76e-05,0.040404,0.874424
4.78e-05,0.040404,0.854222
4.8e-05,0.040404,0.864323
4.82e-05,0.040404,0.864323
4.84e-05,0.040404,0.844121
4.86e-05,0.040404,0.844121
4.88e-05,2.24242,0.854222
4.9e-05,3.43434,0.854222
4.92e-05,3.45455,0.874424
4.94e-05,3.45455,0.884525
4.96e-05,3.45455,0.884525
4.98e-05,3.45455,0.884525
5e-05,3.45455,0.884525
